id,illiteracy,orthodox,t1938,j1938,u1938,z1938,tt_1935,t_1935_,jevtc1935,jvtc1935p,mack1935,mck1935p,ljotc1935,ljtc1935p,maksmvc193,mksmvc1935,age_0_10,age_11_19,age_20_39,age_40_59,age_60_and_over,total,orthd,cthlc,evngl,muslm,othr_r,sr___,othr_s,hngrn,germn,albnn,othr_l,br_kc,br_dm,musko,zensk,ttl_1,emplyd_grc,emplyd_g_1,emplyd_nds,emplyd_n_1,emplyd_cmm,emplyd_c_1,emplyd_pbl,emplyd_p_1,emplyd_thr,emplyd_t_1,emplyd_m,emplyd_w,emplyd_t,sex_ratio,sex_ratio_
301,72.3,93.57487368,4001,2162,1838,1,3720,76.76,3489,93.79,8,0.22,0,0,223,5.99,6424,2375,4901,2478,1238,17416,16297,28,0,1091,0,16296,19,1,1,4,1095,3061,3031,7991,9425,17416,3543,2995,362,37,96,5,185,28,179,94,4365,3159,7524,84.78514589,More females
302,81.8,81.70662639,3062,2088,974,0,3223,70.16,2886,89.54,336,10.43,0,0,1,0.03,5217,2075,4685,2550,1364,15891,12984,59,0,2848,0,12954,3,2,2,119,2811,2493,2583,8369,7522,15891,5010,2020,67,1,19,1,296,7,3,2,5395,2031,7426,111.2603031,More males
303,73,54.83845915,2076,1931,145,0,2489,90.08,2479,99.6,4,0.16,0,0,6,0.24,4161,2070,3552,2031,1062,12876,7061,204,8,5600,3,9940,69,79,11,127,2650,2370,2524,6926,5950,12876,3566,663,266,11,129,2,315,11,104,26,4380,713,5093,116.4033613,More males
304,83.9,34.10363963,7680,6460,1220,0,8143,82.26,6420,78.84,4,0.05,7,0.09,1712,21.02,12947,6578,10202,5590,3066,38383,13090,392,3,24894,4,13104,18,17,11,24385,848,5662,5782,19250,19133,38383,9874,3272,527,33,365,7,362,39,81,75,11209,3426,14635,100.6115089,More males
305,68,85.75878546,6785,5914,860,11,7103,74.53,7061,99.41,41,0.58,1,0.01,0,0,10585,5478,8092,5182,3729,33066,28357,170,0,4524,15,28287,44,29,4,847,3855,5838,5983,16478,16588,33066,7003,3914,898,51,348,7,813,62,863,345,9925,4379,14304,99.33687003,More females
306,78.9,76.30595314,4218,3725,492,1,4838,85.39,2426,50.14,2373,49.05,1,0.02,38,0.79,6805,3838,6224,3356,1715,21938,16740,149,4,5044,1,16197,17,79,13,68,5564,3480,3570,11409,10529,21938,6517,2812,322,24,115,0,306,29,8,3,7268,2868,10136,108.3578687,More males
307,69.3,96.58984177,10766,8432,2328,6,11804,77.32,11143,94.4,573,4.85,13,0.11,75,0.64,17725,8011,16149,8746,4733,55364,53476,225,1,1654,8,53644,121,18,11,49,1521,9505,9579,26798,28566,55364,5050,2655,83,2,22,0,128,6,12,4,5295,2667,7962,93.81082406,More females
308,92.7,15.65351418,3705,3461,243,1,3597,88.4,1991,55.35,1589,44.18,0,0,17,0.47,5396,2686,4504,2587,1047,16220,2539,123,0,13558,0,2553,4,1,0,13558,104,2146,2124,8118,8102,16220,4542,755,42,3,31,1,103,4,14,3,4732,766,5498,100.1974821,Balance
309,73.4,98.7214292,5407,3259,1789,6,5055,84.66,5054,99.98,0,0,0,0,1,0.02,7666,3287,6851,3412,1622,22838,22546,24,0,267,1,22535,9,5,7,0,282,3729,3758,11097,11741,22838,5935,3937,222,28,176,6,232,11,82,52,6647,4034,10681,94.51494762,More females
310,77.6,72.62540021,3451,2592,859,0,3813,75.01,3813,100,0,0,0,0,0,0,6421,3144,4612,2731,1832,18740,13610,10,0,5119,1,17015,7,1,3,1581,133,3209,3237,9142,9598,18740,5050,2655,83,2,22,0,128,6,12,4,5295,2667,7962,95.24901021,More females
311,80.4,53.38587997,9499,6842,2657,0,9319,80.07,9201,98.73,118,1.27,0,0,0,0,15148,7244,11547,6426,4040,44405,23706,49,0,20646,4,23722,19,6,5,17305,3348,6834,7086,22167,22238,44405,11637,4484,668,115,253,8,301,24,58,32,12917,4663,17580,99.68072668,Balance
312,61,77.77264112,4615,3262,1352,1,4763,65.8,4681,98.28,82,1.72,0,0,0,0,7129,3169,5318,3414,2601,21631,16823,62,1,4737,8,16195,10,14,3,1841,3568,3905,4105,10320,11311,21631,4681,3203,705,21,212,2,469,30,201,58,6268,3314,9582,91.23861728,More females
313,61.5,84.97797357,8873,5055,3815,3,9649,57.54,4856,50.33,4780,49.54,2,0.02,11,0.11,16982,8568,14099,8780,6051,54480,46296,216,17,7929,22,46419,88,43,20,1114,6796,9522,10078,27996,26484,54480,12689,4950,2806,211,1059,12,764,81,452,192,17770,5446,23216,105.7091074,More males
314,80.4,58.92297415,4004,3955,49,0,4077,83.84,4076,99.98,1,0.02,0,0,0,0,6525,3418,5399,2760,1359,19461,11467,57,2,7814,121,11509,20,5,2,40,7885,3583,3672,9736,9725,19461,4985,1871,335,18,92,6,247,26,185,74,5844,1995,7839,100.1131105,Balance
315,77.4,22.22125926,8594,7794,799,1,8005,64.16,5656,70.66,2295,28.67,0,0,54,0.67,15065,6811,12879,7433,3966,46154,10256,3432,14,32429,23,16563,66,79,33,19500,9913,7815,8012,22905,23249,46154,8417,2198,2038,204,788,28,1485,84,1103,329,13831,2843,16674,98.52036647,More females
316,59.7,55.12760441,22222,14641,7549,32,22070,64.27,16943,76.76,4223,19.13,861,3.9,43,0.19,36031,21034,40274,20195,10518,128052,70592,3720,102,50845,2793,76586,1047,574,409,25132,24304,18643,22372,67593,60459,128052,20842,10305,8004,1068,5257,339,7177,750,3271,1366,44551,13828,58379,111.799732,More males
317,58,63.20128695,4026,3668,214,0,4217,81.25,3270,77.54,866,20.54,2,0.05,79,1.87,5664,3301,6271,3050,1606,19892,12572,488,16,6181,635,12416,87,142,65,44,7138,3471,3863,10525,9367,19892,2939,805,1333,104,695,25,1561,70,430,146,6958,1150,8108,112.3625494,More males
318,68.4,55.64070576,5407,3307,2077,0,5365,58.93,5363,99.96,2,0.04,0,0,0,0,9564,4071,7350,4478,2592,28055,15610,50,1,12393,1,17446,13,1,3,8219,2373,5373,5425,13241,14814,28055,5359,2692,1341,21,250,3,514,38,175,44,7639,2798,10437,89.38166599,More females
319,65.7,78.03108011,6800,5565,1235,0,7555,76.44,7337,97.12,155,2.05,0,0,63,0.83,11982,6728,11034,6021,3231,38996,30429,290,16,6582,1679,32330,89,18,30,57,6472,6727,7165,20160,18836,38996,9407,4123,1249,132,446,11,1421,46,218,115,12741,4427,17168,107.0290932,More males
320,64.7,70.75480633,8193,4091,4094,8,8248,70.5,7014,85.03,1214,14.72,1,0.01,19,0.23,12704,6897,12110,6525,4000,42236,29884,308,32,11998,14,34857,96,86,47,1644,5506,7921,8184,21922,20314,42236,8771,3966,1936,150,680,17,1183,93,1564,516,14134,4742,18876,107.9157231,More males
321,70.5,99.84646029,10901,10060,836,5,10166,74.95,10155,99.89,8,0.08,0,0,3,0.03,17799,6622,13773,6991,3011,48196,48122,42,1,26,5,47958,44,11,1,6,176,7938,7924,22659,25537,48196,10592,7964,1390,94,300,7,262,47,48,66,12592,8178,20770,88.73007793,More females
322,71.4,71.16133592,13127,6896,6230,1,12690,72.77,2293,18.07,10388,81.85973207,7,0.05,2,0.02,21369,11663,17454,9924,6091,66501,47323,351,20,18777,30,47451,70,42,40,13485,5413,10107,10864,33994,32507,66501,15895,7693,2217,233,929,25,1125,81,595,196,20761,8228,28989,104.5743994,More males
323,63.1,59.92734842,16027,10065,5926,37,20040,78,10044,50.11,9927,49.53,0,0,0,0,33277,16290,29986,13684,4765,98002,58730,26696,256,11030,1290,92684,2440,109,1511,55,1203,14432,15935,50671,47331,98002,22329,11168,3480,636,1272,205,2781,574,1014,565,30876,13148,44024,107.0566859,More males
324,66.7,43.69991605,8154,3347,4802,5,8008,70.09,3651,45.59,4356,54.4,0,0,1,0.01,13533,6142,11097,5994,2543,39309,17178,7999,5,13962,165,39104,71,4,45,3,82,6493,6958,19169,20140,39309,9716,5876,640,67,316,45,364,129,216,149,11252,6266,17518,95.17874876,More females
325,73.1,84.88333484,6484,2329,3894,211,6579,83.45,3212,48.82,3347,50.88,20,0.3,0,0,11919,5350,9360,4902,1598,33129,28121,1641,302,3039,26,32726,61,8,317,5,12,5485,5565,16485,16644,33129,8519,4303,483,65,302,52,111,41,62,82,9477,4543,14020,99.04470079,More females
326,65.3,69.22512449,10604,6222,4362,20,12021,86.46,9014,74.99,2996,24.92,2,0.02,9,0.07,20534,9807,16729,7760,2405,57235,39621,8682,980,7335,617,52310,1920,108,2758,3,136,9912,10082,28820,28415,57235,14472,6827,1164,163,598,79,276,95,316,69,16826,7233,24059,101.4253035,More males
327,77.1,67.10262855,9128,4759,4367,2,9607,75.65,4924,51.25,4667,48.58,13,0.14,3,0.03,17390,7035,13853,6353,2315,46946,31502,347,3,15087,7,46898,24,8,9,1,6,6998,7045,23735,23211,46946,12885,6820,387,34,217,33,171,40,166,59,13826,6986,20812,102.2575503,More males
328,64.8,79.23690528,8029,3559,4386,84,8140,80.63,3362,41.3,4774,58.65,4,0.05,0,0,13830,6155,11532,5400,1820,38737,30694,1861,5,6110,67,38220,414,7,74,0,22,5945,6171,19533,19204,38737,9998,5122,957,76,391,47,229,65,151,110,11726,5420,17146,101.7131848,More males
329,74.2,75.70414965,6244,3552,2686,6,6305,68.57,4447,70.53,1858,29.47,0,0,0,0,12130,5195,8977,4219,2036,32557,24647,1579,5,6298,28,32438,59,4,46,2,8,4869,5160,16205,16352,32557,8017,4558,641,132,213,20,173,45,57,43,9101,4798,13899,99.1010274,More females
330,76.7,94.35638257,5763,2883,2790,90,7248,92.44,7170,98.92,78,1.08,0,0,0,0,9397,4438,6974,3471,1838,26118,24644,1419,6,48,1,26034,55,4,21,3,1,3614,3807,12887,13231,261181,6549,4295,549,22,195,30,94,26,22,13,7409,4386,11795,97.40004535,More females
331,84.9,23.41644989,9521,4807,4697,17,9489,73.18,2833,29.86,6654,70.12,2,0.02,0,0,17308,7354,14233,6525,1863,47283,11072,895,0,35313,3,47264,8,3,2,0,6,8237,8183,23904,23379,47283,13546,6252,282,33,147,8,212,35,44,20,14231,6348,20579,102.245605,More males
332,63.3,35.55605081,15343,7125,8144,64,14202,82.79,6380,44.92,7814,55.02,8,0.06,0,0,23842,11655,19002,9846,2960,67305,23931,34104,246,8250,774,64958,1413,105,648,0,181,4299,4673,9600,10688,20288,15842,7295,1551,252,1790,145,373,138,330,305,19886,8135,28021,89.82035928,More females
333,67,15.99983277,6923,2460,4461,2,5133,81.76,2561,49.89,2559,49.86,1,0.02,12,0.23,8714,3834,7090,3151,1130,23919,3827,6626,173,13171,122,23706,113,9,55,1,35,4125,4467,12074,11845,23919,5146,2130,893,118,524,52,218,60,291,156,7072,2516,9588,101.9333052,More males
334,62.6,88.2350728,5760,3233,2517,10,6133,87.69,1166,19.01,4966,80.97,1,0.02,0,0,8335,4227,7939,4366,1712,26579,23452,3073,5,7,42,26551,4,4,18,0,2,4012,4063,12868,13711,26579,7323,5131,383,29,109,21,127,39,26,9,7968,5229,13197,93.85165196,More females
335,80.9,80.09004301,5012,3757,1255,0,5198,82.08,4376,84.19,814,15.66,8,0.15,0,0,8974,4024,7075,3201,1603,24877,19924,1342,0,3607,4,24863,8,0,3,1,2,3516,3316,12766,12111,24877,7111,3496,200,16,133,5,98,23,86,25,7628,3565,11193,105.4083065,More males
336,78.8,38.15706881,5799,3520,2279,0,11653,79.28,6190,53.12,5348,45.89,0,0,115,0.99,20003,8754,16178,8531,2293,55759,21276,2186,1,32265,31,55572,55,21,14,2,95,9202,9363,29839,28019,57858,15805,6739,554,49,505,39,177,42,51,54,17092,6923,24015,106.4955923,More males
337,69,32.27368999,14637,6958,7578,101,11448,86.98,4985,43.54,6413,56.02,50,0.44,0,0,18229,8714,14364,7618,2067,50992,16457,19685,255,14521,74,50578,56,27,296,4,31,8923,8930,25817,25175,50992,13614,5965,730,75,463,61,206,80,117,128,15130,6309,21439,102.550149,More males
338,79.6,49.83714698,9881,4374,5507,0,10626,78.95,5661,53.27,4962,46.7,1,0.01,2,0.02,16972,7294,14736,7080,2428,48510,24176,10080,9,14205,40,48288,92,21,85,6,18,7716,7841,25521,22989,48510,13579,5402,1215,185,433,31,202,64,142,137,15571,5819,21390,111.0139632,More males
339,81.6,66.54687835,7894,4207,3669,18,7868,75.22,4371,55.55,3495,44.42,0,0,2,0.03,13692,5390,11245,5165,1796,37288,24814,1543,13,10901,17,37187,51,11,31,2,6,4255,4237,9756,11018,20774,11039,4198,420,34,222,17,159,34,52,45,11892,4328,16220,88.54601561,More females
340,81.6,62.95344397,4892,1907,2958,27,6454,83.03,5237,81.14,1216,18.84,0,0,1,0.02,9887,3918,8566,3656,1209,27236,17146,5193,1,4872,24,27152,44,6,32,0,2,3731,3951,14607,12629,27236,8313,3334,359,38,161,9,102,22,28,29,8963,3432,12395,115.6623644,More males
341,79.7,43.94202611,3740,1219,2520,1,4564,86.23,2210,48.42,2354,51.58,0,0,0,0,7492,3016,6061,2756,822,20147,8853,2497,0,8783,14,20126,12,2,5,0,2,3418,3528,10381,9766,20147,5488,2036,220,13,211,8,62,16,101,49,6082,2122,8204,106.2973582,More males
342,79.3,81.40593766,5251,2350,2888,13,6151,80.62,4947,80.43,1204,19.574053,0,0,0,0,9536,4249,7935,3980,1314,27014,21991,2434,0,2585,4,26976,30,0,7,1,0,4363,4406,14259,12755,27014,7847,3247,469,65,175,7,106,29,61,34,8658,3382,12040,111.7914543,More males
343,73.1,58.56685563,11592,5111,6088,393,11808,82.74,6135,51.96,5518,46.73,5,0.04,150,1.27,20381,8943,16481,7640,2474,55919,32750,6006,50,16113,1000,54281,1462,23,121,12,20,9235,9724,28448,27471,55919,13963,6266,1233,244,706,96,299,92,374,141,16575,6839,23414,103.5564777,More males
344,69.1,61.21313999,11305,7566,3734,5,11758,72.88,6036,51.33,5718,48.63,2,0.02,2,0.02,23604,10376,18112,8540,3021,63653,38964,13311,917,4699,5762,45255,15777,332,1689,2,598,10837,11025,32568,31085,63653,17681,7538,726,56,323,58,201,68,99,63,19030,7783,26813,104.7707898,More males
345,78.5,60.46775125,10117,5931,4177,9,9997,84.91,5323,53.25,4673,46.74,1,0.01,0,0,17517,7326,13707,6152,2075,46777,28285,6727,1,11652,112,46688,43,0,16,4,26,7445,7619,23843,22934,46777,12996,5595,427,42,230,24,173,40,59,53,13885,5754,19639,103.9635476,More males
346,80,67.64866599,5181,3492,1686,3,8561,78.96,5174,60.44,1852,21.63,4,0.05,1531,17.88,15101,7012,12419,5636,1923,42091,28474,6861,144,6412,200,41231,501,60,241,1,57,6117,6467,21870,20221,42091,11641,4935,1101,121,258,25,87,23,52,53,13139,5157,18296,108.1548885,More males
347,64.3,71.42647221,5937,3597,2337,3,5696,79.63,4811,84.46,829,14.56,8,0.14,48,0.84,8744,4340,7385,4332,2420,27221,19443,375,0,7403,0,26808,5,1,4,373,30,4917,5302,13775,13446,27221,7080,3702,275,22,154,9,636,41,105,56,8250,3830,12080,102.4468243,More males
348,65.4,42.89011723,7473,5353,2112,8,6454,61.14,4252,65.88,2170,33.62,17,0.27,15,0.23,8795,5238,9060,5794,4039,32926,14122,5004,1,13796,3,20264,53,4,5,12504,96,8032,7664,15631,17295,32926,8066,5344,599,67,603,35,505,69,227,220,10000,5735,15735,90.37872217,More females
349,69.1,59.74583105,6656,3956,2699,1,6474,79.11,4377,67.61,771,11.91,2,0.03,1324,20.45,10049,5811,7929,4874,2340,31003,18523,162,1,12314,3,30900,41,5,2,15,40,5228,5580,15845,15158,31003,7707,4020,355,45,180,10,531,51,342,115,9115,4241,13356,104.5322602,More males
350,72.3,61.08730665,7230,4653,2573,4,6382,79.78,3868,60.61,2495,39.09,1,0.02,18,0.28,11825,5761,7906,4790,2625,32907,20102,40,0,12765,0,32862,14,1,1,0,29,5530,6095,16414,16493,32907,8290,4097,305,23,215,16,266,26,142,127,9218,4289,13507,99.52100891,More females
351,63.8,80.33657688,4097,1589,2476,32,4214,83.36,4198,99.62,5,0.12,11,0.26,0,0,6639,3275,6609,2955,1795,21273,17090,436,9,3702,36,21174,38,22,32,4,3,2972,3082,10964,10309,21273,5358,3684,142,27,141,22,820,30,575,36,7036,3799,10835,106.3536715,More males
352,47.9,96.11943555,6027,3243,2779,2,4717,69.26,3037,64.38,1403,29.74,6,0.12,271,5.74,7394,4272,8276,4418,3136,27496,26429,810,3,221,33,27197,132,6,14,109,38,5561,5931,13507,13989,27496,5720,3548,662,170,409,61,1192,197,696,389,8679,4365,13044,96.55443563,More females
353,53.1,99.20488269,3768,1625,2143,0,3799,77.86,3488,91.81,300,7.9,8,0.21,3,0.08,5406,2719,4725,3068,1941,17859,17717,50,0,90,2,17814,31,1,1,11,1,6042,6615,23727,21651,45378,4235,2941,117,26,63,10,287,45,158,80,4860,3102,7962,109.5884717,More males
354,78.6,57.81920824,8301,7776,523,2,9628,87.15,9162,95.16,5,0.05,1,0.01,460,4.78,13941,7171,11634,5854,3559,42159,24376,114,3,17416,250,41739,32,17,15,47,309,4293,4589,12980,12660,25640,10182,5665,1052,112,504,29,448,56,416,263,12602,6125,18727,102.5276461,More males
355,84.2,14.85080876,10735,9734,996,5,10915,84.14,10887,99.74,19,0.18,2,0.02,7,0.06,12821,7401,13084,7982,4090,45378,6739,5817,1,32810,11,7013,27,62,24,36399,1853,6165,6722,21176,20983,42159,11226,6362,1118,187,787,9,1176,40,703,324,15010,6922,21932,100.9197922,More males
356,92.5,16.53171129,4547,4511,36,0,5733,80.56,5733,100,0,0,0,0,0,0,8003,4966,7308,3761,1773,25811,4267,25,0,21517,2,4284,21,0,0,21347,159,3526,3552,13325,12486,25811,7797,4782,45,6,37,1,125,9,1,2,8005,4800,12805,106.7195259,More males
357,26.5,4.665245712,12165,2120,9897,148,10537,72.36,2680,25.43,7817,74.19,38,0.36,2,0.02,10607,7062,16180,9631,6721,50201,2342,47132,105,342,280,48478,551,74,441,51,606,8806,10198,23490,26711,50201,9506,7551,2083,770,1923,448,1677,724,1367,1334,16556,10827,27383,87.94129759,More females
358,79.8,41.35180735,8342,4393,3942,7,8944,82.01,5019,56.11,3639,40.69,276,3.09,10,0.11,13552,5427,12195,6024,1920,39118,16176,262,1,22672,7,38990,28,4,34,0,62,6265,6840,19974,19144,39118,10369,4956,757,140,358,23,409,42,171,139,12064,5300,17364,104.3355621,More males
359,67.5,61.87069248,3251,2112,1113,26,3459,86.6,2808,81.18,647,18.7,2,0.06,2,0.06,5279,2141,4455,2243,1117,15235,9426,83,0,5724,2,15219,11,2,3,0,0,2250,2390,7575,7660,15235,4028,2397,137,39,148,8,209,18,25,15,4547,2477,7024,98.89033943,More females
360,87.2,37.03989505,6389,5958,431,0,6012,82.95,5988,99.6,22,0.36,1,0.02,1,0.02,8069,4690,7578,3838,1743,25918,9600,1481,1,14836,0,12131,9,0,2,12872,904,3430,3458,13328,12590,25918,7804,4648,88,12,62,2,128,21,29,19,8111,4702,12813,105.8617951,More males
361,52.8,98.57197018,3502,1876,1626,0,3357,75.73,2346,69.88,924,27.53,0,0,87,2.59,4840,2478,4440,2508,1560,15826,15600,121,0,103,2,15805,15,2,2,0,2,3087,3480,7933,7893,15826,3925,2272,406,32,86,6,240,29,148,63,4805,2402,7207,100.5067782,Balance
362,69,56.01208263,7287,6903,274,110,6267,77.91,6239,99.55,6,0.1,6,0.1,16,0.25,9374,5229,9233,4552,2400,30788,17245,754,18,12623,148,21921,200,82,80,5788,2717,4388,4839,15977,14811,30788,6170,3507,1454,130,813,27,1200,96,464,165,10101,3925,14026,107.8725272,More males
363,26.8,63.38967401,7550,3689,3702,159,7444,74.65,5972,80.23,1455,19.55,13,0.17,4,0.05,8233,5484,14440,6496,4336,38989,24715,13702,53,421,98,37846,664,71,205,47,156,6704,7761,20762,18227,38989,5491,4184,2381,414,1222,193,5182,276,1182,804,15458,5871,21329,113.9079388,More males
364,63.8,58.00400534,2419,1673,1721,25,3305,86.72,2370,71.71,933,28.23,0,0,2,0.06,4288,2258,4498,2271,1665,14980,8689,4268,0,2015,8,14971,7,0,0,0,2,2556,2272,7001,7979,14980,4137,3425,102,19,137,17,92,13,18,24,4486,3498,7984,87.74282492,More females
365,76,53.55418114,5498,3744,1754,0,4858,82.37,4600,94.69,98,2.02,2,0.04,158,3.25,8578,3894,6157,3026,1951,23606,12642,36,1,10927,0,23482,14,1,2,0,107,3888,4150,11894,11712,23606,5799,2920,365,70,171,14,199,36,115,126,6649,3166,9815,101.5539617,More males
366,70.5,71.2596401,5146,1987,2846,313,5543,84.18,3846,69.38,1247,22.5,14,0.25,436,7.87,8097,3794,7804,3653,1937,25285,18018,1348,0,5917,2,25251,28,3,3,0,0,3633,3564,12384,12901,25285,6915,4661,228,39,144,6,354,36,53,52,7694,4794,12488,95.99255872,More females
367,52.1,98.28745026,7631,3783,3843,5,7123,68.82,3674,51.58,3423,48.05,23,0.33,3,0.04,11337,5833,10447,5748,3831,37196,36559,366,1,264,6,37069,52,5,15,33,22,7024,7223,17991,19205,37196,9216,5871,466,86,271,45,496,68,399,248,10848,6318,17166,93.6787295,More females
368,63,87.61430438,2920,2292,628,0,2705,85.28,2611,96.52,36,1.33,14,0.52,44,1.63,4526,1969,3311,1626,816,12248,10731,29,0,1488,0,12238,6,0,0,0,4,1780,1795,6175,6073,12248,2916,1636,213,40,89,4,92,19,102,37,3412,1736,5148,101.6795653,More males
369,79.2,29.11967419,9356,7868,1487,1,10032,78.88,9916,98.84,96,0.96,1,0.01,19,0.19,13509,7046,12876,7464,3793,44688,13013,2348,0,29320,7,13984,107,58,3,27259,3277,6401,7112,22975,21713,44688,10696,5770,1089,159,520,17,699,77,1051,406,14055,6429,20484,105.8121862,More males
370,68.3,71.38811905,6722,3223,3494,5,5991,74.83,5034,84.03,943,15.74,11,0.18,3,0.05,11778,5919,8238,4760,2501,33196,23698,298,1,9187,12,33140,32,13,6,1,4,5205,5608,16963,16233,33196,7656,3721,584,113,290,21,639,71,420,197,9589,4123,13712,104.4970123,More males
371,56.9,78.02069737,8517,3185,5303,29,7318,66.87,3682,50.31,2970,40.59,12,0.16,654,8.94,12719,7176,11757,7029,4223,42904,33474,5094,3,4324,9,37742,72,4,15,5005,66,7853,8516,21418,21486,42904,8999,5208,1433,116,695,76,1262,139,789,456,13178,5995,19173,99.68351485,Balance
372,93,10.82589594,9268,9207,61,0,8776,88.66,8286,94.42,490,5.58,0,0,0,0,11212,6076,10069,5938,2896,36191,3918,674,1,31597,1,6977,10,6,3,27768,1427,5168,5069,18541,17650,36191,10853,6255,182,6,97,1,192,9,24,28,11348,6299,17647,105.0481586,More males
373,81.4,62.27753578,3064,1838,1225,1,3375,84.42,1908,56.53,844,25.01,3,0.09,620,18.37,5866,2623,4357,2150,1074,16070,10008,49,1,6011,1,16037,5,1,7,0,20,2668,2766,7937,8133,16070,4097,2169,151,17,77,3,96,12,53,24,4474,2225,6699,97.59006517,More females
374,53.5,99.10749967,5361,1866,3497,1,4887,75.57,3174,64.95,1407,28.79,262,5.36,44,0.9,7488,3203,6188,3391,2251,22521,22320,48,0,150,3,22508,5,5,2,0,1,3685,4251,11196,11325,22521,6264,3368,211,29,53,7,149,24,44,23,6721,3451,10172,98.86092715,More females
375,82.8,42.38654036,5188,2526,2684,28,6112,88.34,6095,99.72,16,0.26,1,0.02,0,0,9361,5687,7077,3806,2361,28292,11992,7,0,16265,28,28262,5,0,0,5,20,3874,4172,14375,13917,28292,7800,4221,290,20,174,6,154,19,58,62,8476,4328,12804,103.2909391,More males
376,89.2,16.32935791,3522,3435,87,0,3735,92.29,3734,99.97,1,0.03,0,0,0,0,5838,3191,4042,2189,1342,16602,2711,5,0,13880,6,16184,2,0,0,410,6,2445,2595,8537,8065,16602,4713,2399,32,4,30,2,97,5,7,3,4879,2413,7292,105.8524489,More males
377,70.6,99.03085584,6757,5201,1451,105,6891,88.22,6886,99.93,2,0.03,0,0,3,0.04,8353,3865,8499,5052,2297,28066,27794,231,0,38,3,27980,41,14,12,0,19,4875,4972,13826,14240,28066,7994,4844,496,29,159,7,156,31,52,21,8857,4932,13789,97.09269663,More females
378,54.3,72.1936935,4246,3258,967,21,4803,82.24,4020,83.7,725,15.09,57,1.19,1,0.02,6944,3419,7243,3700,2257,23563,17011,996,4,5539,13,23433,66,4,45,14,1,4017,4034,11264,12299,23563,4964,4051,652,99,568,66,877,66,123,142,7184,4424,11608,91.58468168,More females
