id,illiteracy,orthodox,t1938,j1938,u1938,z1938,tt_1935,t_1935_,jevtc1935,jvtc1935p,mack1935,mck1935p,ljotc1935,ljtc1935p,maksmvc193,mksmvc1935,age_0_10,age_11_19,age_20_39,age_40_59,age_60_and_over,total,orthd,cthlc,evngl,muslm,othr_r,sr___,othr_s,hngrn,germn,albnn,othr_l,br_kc,br_dm,musko,zensk,ttl_1,emplyd_grc,emplyd_g_1,emplyd_nds,emplyd_n_1,emplyd_cmm,emplyd_c_1,emplyd_pbl,emplyd_p_1,emplyd_thr,emplyd_t_1,emplyd_m,emplyd_w,emplyd_t,sex_ratio,sex_ratio_
291,74.5,92.98720894,11089,4523,6566,0,11126,76.01,10354,93.06,748,6.72,0,0,24,0.22,21395,8776,17060,7628,3463,58322,54232,14,1,4072,3,54291,11,0,2,3195,823,8791,8774,28228,30094,58322,15002,9972,468,54,129,6,270,26,50,42,15919,10100,26019,93.79942846,More females
292,94.5,5.607251725,2516,2411,105,0,2628,88.48,2628,100,0,0,0,0,0,0,4298,2274,3067,1793,1034,12466,699,35,0,11731,1,732,3,0,2,11624,105,1803,1865,6470,5996,12466,3223,875,110,6,84,1,97,6,172,6,3686,894,4580,107.9052702,More males
293,61.9,92.55403654,4601,2611,1984,3,5082,77.07,3203,63.03,1716,33.76,3,0.06,160,3.15,7371,4203,6614,3614,2117,23919,22138,88,34,1648,11,22992,37,62,3,92,733,4425,4582,12614,11305,23919,6481,2648,659,35,345,8,528,33,160,38,8173,2762,10935,111.5789474,More males
294,72,50.14174013,6131,4161,1668,0,5943,59.36,3940,66.29,1976,33.25,4,0.07,23,0.39,10394,5557,7493,4929,3728,32101,16096,142,7,15853,3,21350,20,16,13,10064,638,5583,6181,15116,16985,32101,7206,3176,595,24,257,6,454,24,237,68,8749,3298,12047,88.99617309,More females
295,76.5,81.24213441,5858,4466,1391,1,5668,69.53,5188,91.53,464,8.19,2,0.03,14,0.25,9918,5747,9028,4703,2388,31784,25822,106,7,5835,14,25058,43,11,8,34,6630,5547,5838,16241,15543,31784,8002,3527,760,100,256,15,519,42,441,118,9978,3802,13780,104.4907675,More males
296,75.8,98.42364532,4201,2517,1683,1,4731,89.33,4251,89.85,480,10.15,0,0,0,0,6091,3948,5603,2926,1732,20300,19980,46,3,265,6,19912,8,4,11,0,365,3194,3251,10522,9778,20300,5866,3104,421,16,96,5,225,19,56,34,6664,3178,9842,107.608918,More males
297,74.5,98.63317872,6750,3960,2790,0,8325,77.62,8032,96.48,292,3.51,0,0,1,0.01,13514,7104,9981,5379,4554,40532,39978,87,0,448,19,40042,15,13,22,10,430,6104,6092,20000,20532,40532,10522,6600,402,21,117,9,642,31,103,33,11786,6694,18480,97.40892266,More females
298,67.8,93.82265592,4864,4193,671,0,4626,67.4,4479,96.82,125,2.7,21,0.46,1,0.02,7718,3925,5651,3628,2648,23570,22114,21,0,1435,0,20593,9,0,1,1335,1632,3844,3943,11678,11892,23570,6010,3205,498,30,147,2,202,29,83,106,6940,3372,10312,98.2004709,More females
299,64.1,96.93510393,14798,7931,6869,7,14989,67.53,13764,91.83,1160,7.74,29,0.19,36,0.24,25883,11664,23033,11878,4804,77262,74894,279,29,1963,97,74847,151,29,82,9,2144,12160,12490,38405,38857,77262,16896,9973,3793,817,1154,37,665,139,617,368,23125,11334,34459,98.83676043,More females
300,55.1,93.18565675,3081,1921,1157,3,3166,84.07,3166,100,0,0,0,0,0,0,4741,2753,4296,2235,1369,15394,14345,154,1,892,2,15038,28,8,8,8,304,2604,2862,7967,7427,15394,3790,1803,270,18,73,2,764,36,47,18,4944,1877,6821,107.2707688,More males
