id,illiteracy,orthodox,deca
216,15.3,1.727574751,2119
217,20.8,0.049005881,8384
218,19.6,11.13302701,9892
219,12.1,2.892736486,1774
220,60,83.17911891,4726
221,46.4,65.83387745,7755
222,37.1,0.145125243,10337
223,26.8,5.173426317,11642
224,17.3,1.890547264,1282
225,23.1,0.344259841,4557
226,26.3,6.454833993,7123
227,17.2,5.509091525,7553
228,28.2,21.19231375,15003
229,22.1,24.38181539,13503
230,10.5,24.18207681,681
231,38.4,0.597014925,2348
232,34.5,0.323839575,10077
233,22.4,26.98532437,7081
234,44.3,47.70035803,15103
235,25.8,35.55529033,8578
236,10.8,14.58710365,6614
237,49.7,47.71728806,10332
238,36.1,52.22091833,11266
239,59.7,16.36639676,6664
240,48.2,49.7504261,8338
241,14.7,17.37716763,981
242,50.2,0.280654861,3487
243,31.2,99.30270857,13325
244,13.4,12.14035088,1248
245,26.4,0.045407762,10124
246,9.3,0.140161965,14025
247,37.3,0.267159885,4535
248,38,0.274456726,7868
249,57.3,0.230083405,3079
250,17.9,2.44140625,725
251,30.9,2.252514944,5597
252,16.3,13.00045809,2190
253,34.7,44.27617901,13571
254,65.5,53.13666019,15933
255,16,1.183149406,4121
256,8.2,6.126249147,2768
257,35.5,0.084053098,7999
258,64.3,74.29024716,4173
259,22.7,4.270418327,5530
260,22.6,0.052471633,13381
261,12.3,4.852176293,2826
262,36.7,0.209620168,9086
263,18.8,13.5735822,8143
264,10.9,15.67799804,2686
265,27.3,25.21710257,12052
266,14.4,3.802102891,2537
267,54.4,72.37448151,13136
268,25.3,16.59507778,5303
269,61.6,79.94976203,12033
270,21.9,49.38038055,9828
271,9.7,20.15282637,2317
272,23.4,1.3434089,17174
273,6.5,7.15536612,28146
274,30.8,0.067651152,15684
275,21.2,6.284743224,7962
276,10.9,77.69615747,38386
277,12.4,50.74471456,4455
278,9.1,45.31238869,5807
279,56,76.0373826,19897
280,57.5,99.5007633,7959
281,70.7,70.15323965,5000
282,44.4,96.73838048,4783
283,69.3,54.53769316,3955
284,79.6,32.73459842,35646
285,63.3,53.87934611,6065
286,89.5,33.98508299,32258
287,93.3,1.613930771,5458
288,67.4,41.15733922,5358
289,79.2,30.42613115,11156
290,73.1,37.86857479,19279
291,74.5,92.98720894,21395
292,94.5,5.607251725,4298
293,61.9,92.55403654,7371
294,72,50.14174013,10394
295,76.5,81.24213441,9918
296,75.8,98.42364532,6091
297,74.5,98.63317872,13514
298,67.8,93.82265592,7718
299,64.1,96.93510393,25883
300,55.1,93.18565675,4741
301,72.3,93.57487368,6424
302,81.8,81.70662639,5217
303,73,54.83845915,4161
304,83.9,34.10363963,12947
305,68,85.75878546,10585
306,78.9,76.30595314,6805
307,69.3,96.58984177,17725
308,92.7,15.65351418,5396
309,73.4,98.7214292,7666
310,77.6,72.62540021,6421
311,80.4,53.38587997,15148
312,61,77.77264112,7129
313,61.5,84.97797357,16982
314,80.4,58.92297415,6525
315,77.4,22.22125926,15065
316,59.7,55.12760441,36031
317,58,63.20128695,5664
318,68.4,55.64070576,9564
319,65.7,78.03108011,11982
320,64.7,70.75480633,12704
321,70.5,99.84646029,17799
322,71.4,71.16133592,21369
323,63.1,59.92734842,33277
324,66.7,43.69991605,13533
325,73.1,84.88333484,11919
326,65.3,69.22512449,20534
327,77.1,67.10262855,17390
328,64.8,79.23690528,13830
329,74.2,75.70414965,12130
330,76.7,94.35638257,9397
331,84.9,23.41644989,17308
332,63.3,35.55605081,23842
333,67,15.99983277,8714
334,62.6,88.2350728,8335
335,80.9,80.09004301,8974
336,78.8,38.15706881,20003
337,69,32.27368999,18229
338,79.6,49.83714698,16972
339,81.6,66.54687835,13692
340,81.6,62.95344397,9887
341,79.7,43.94202611,7492
342,79.3,81.40593766,9536
343,73.1,58.56685563,20381
344,69.1,61.21313999,23604
345,78.5,60.46775125,17517
346,80,67.64866599,15101
347,64.3,71.42647221,8744
348,65.4,42.89011723,8795
349,69.1,59.74583105,10049
350,72.3,61.08730665,11825
351,63.8,80.33657688,6639
352,47.9,96.11943555,7394
353,53.1,99.20488269,5406
354,78.6,57.81920824,13941
355,84.2,14.85080876,12821
356,92.5,16.53171129,8003
357,26.5,4.665245712,10607
358,79.8,41.35180735,13552
359,67.5,61.87069248,5279
360,87.2,37.03989505,8069
361,52.8,98.57197018,4840
362,69,56.01208263,9374
363,26.8,63.38967401,8233
364,63.8,58.00400534,4288
365,76,53.55418114,8578
366,70.5,71.2596401,8097
367,52.1,98.28745026,11337
368,63,87.61430438,4526
369,79.2,29.11967419,13509
370,68.3,71.38811905,11778
371,56.9,78.02069737,12719
372,93,10.82589594,11212
373,81.4,62.27753578,5866
374,53.5,99.10749967,7488
375,82.8,42.38654036,9361
376,89.2,16.32935791,5838
377,70.6,99.03085584,8353
378,54.3,72.1936935,6944
